Year,Sex,Age,Location,Quantile,Units,Value
2001,FEMALE,10-14,,,PER_1000_POP,13.1
2001,FEMALE,15-19,,,PER_1000_POP,117.0
2002,FEMALE,10-14,,,PER_1000_POP,5.0
2002,FEMALE,15-19,,,PER_1000_POP,126.1
2004,FEMALE,10-14,,,PER_1000_POP,4.4
2004,FEMALE,15-19,,,PER_1000_POP,126.8
2005,FEMALE,10-14,,,PER_1000_POP,4.4
2005,FEMALE,15-19,,,PER_1000_POP,123.6
2007,FEMALE,10-14,,,PER_1000_POP,9.1
2007,FEMALE,15-19,,,PER_1000_POP,112.6
2008,FEMALE,15-19,,,PER_1000_POP,132.1
2009,FEMALE,10-14,,,PER_1000_POP,7.6
2009,FEMALE,15-19,,,PER_1000_POP,127.6
2010,FEMALE,10-14,,,PER_1000_POP,7.4
2010,FEMALE,15-19,,,PER_1000_POP,116.2
2011,FEMALE,10-14,,,PER_1000_POP,5.5
2011,FEMALE,15-19,,,PER_1000_POP,135.2
2012,FEMALE,10-14,,,PER_1000_POP,3.5
2012,FEMALE,15-19,,,PER_1000_POP,138.1
2013,FEMALE,10-14,,,PER_1000_POP,6.1
2013,FEMALE,15-19,,,PER_1000_POP,120.1
2015,FEMALE,10-14,,,PER_1000_POP,3.8
2015,FEMALE,15-19,,,PER_1000_POP,111.1
2016,FEMALE,10-14,,,PER_1000_POP,3.4
2016,FEMALE,15-19,,,PER_1000_POP,109.0
