Year;Sex;Age;Location;Units;Value
2000;;;;T_PER_HA;231
2000;;;;HA_TH;0
2000;;;;PERCENT;NaN
2000;;;;PERCENT;12.3779
2005;;;;HA_TH;0
2010;;;;T_PER_HA;231
2010;;;;HA_TH;0
2010;;;;PERCENT;-0.47783
2010;;;;PERCENT;NaN
2010;;;;PERCENT;12.3779
2015;;;;T_PER_HA;231
2015;;;;HA_TH;0
2015;;;;PERCENT;NaN
2015;;;;PERCENT;18.4541
2016;;;;T_PER_HA;231
2016;;;;HA_TH;0
2016;;;;PERCENT;NaN
2016;;;;PERCENT;18.4541
2017;;;;T_PER_HA;231
2017;;;;HA_TH;0
2017;;;;PERCENT;NaN
2017;;;;PERCENT;18.4541
2018;;;;T_PER_HA;231
2018;;;;HA_TH;0
2018;;;;PERCENT;8.1383
2018;;;;PERCENT;18.4541
2019;;;;T_PER_HA;231
2019;;;;HA_TH;0
2019;;;;PERCENT;8.1383
2019;;;;PERCENT;18.4541
2020;;;;T_PER_HA;231
2020;;;;HA_TH;0
2020;;;;PERCENT;-0.83351
2020;;;;PERCENT;8.1383
2020;;;;PERCENT;18.4541
2021;;;;HA_TH;0
;Biomass in forest;;;;
2010;;;;Millions de tonnes ;2010
2015;;;;Millions de tonnes ;2015
;Superficie forestière;;;;
2010;;;;%;2010
2015;;;;%;2015
;Proportion à long terme;;;;
2010;;;;%;2010
2015;;;;%;2015
;Superficie forestière dans les aires protégés;;;;
2010;;;;Milliers d'hectares;2010
2015;;;;Milliers d'hectares;2015
