Year;Sex;Age;Location;Units;Value
2000;;;;PERCENT;38.36398
2001;;;;PERCENT;38.36398
2002;;;;PERCENT;38.36398
2003;;;;PERCENT;38.36398
2004;;;;PERCENT;38.36398
2005;;;;PERCENT;38.36398
2006;;;;PERCENT;39.08511
2007;;;;PERCENT;39.08511
2008;;;;PERCENT;39.08511
2009;;;;PERCENT;39.08511
2010;;;;PERCENT;39.08511
2011;;;;PERCENT;39.08511
2012;;;;PERCENT;39.08511
2013;;;;PERCENT;39.08511
2014;;;;PERCENT;39.08511
2015;;;;PERCENT;39.08511
2016;;;;PERCENT;39.08511
2017;;;;PERCENT;39.08511
2018;;;;PERCENT;39.08511
2019;;;;PERCENT;39.08511
2020;;;;PERCENT;39.08511
2021;;;;PERCENT;39.08511
