Year,Sex,Age,Location,Quantile,Units,Value
2021,,,,,Ratio,0.25154
2021,,,,,Ratio,0.41292
2021,,<=45Y,,,NUMBER,20
2021,,<=45Y,,,PERCENT,18.35
2021,,<=45Y,,,Ratio,0.32561
2021,FEMALE,46+,,,NUMBER,1
2021,FEMALE,<=45Y,,,NUMBER,1
2021,FEMALE,<=45Y,,,NUMBER,1
2021,MALE,46+,,,NUMBER,1
2021,MALE,46+,,,NUMBER,1
2021,MALE,46+,,,NUMBER,1
2021,_X,_X,,,NUMBER,0
2021,_X,_X,,,NUMBER,0
2021,_X,_X,,,NUMBER,0
2021,_X,_X,,,NUMBER,0
2021,_X,_X,,,NUMBER,0
2021,_X,_X,,,NUMBER,0
2022,,,,,Ratio,0.25154
2022,,,,,Ratio,0.46678
2022,,<=45Y,,,NUMBER,20
2022,,<=45Y,,,PERCENT,18.35
2022,,<=45Y,,,Ratio,0.32561
2022,FEMALE,46+,,,NUMBER,1
2022,FEMALE,<=45Y,,,NUMBER,1
2022,FEMALE,<=45Y,,,NUMBER,1
2022,MALE,46+,,,NUMBER,1
2022,MALE,46+,,,NUMBER,1
2022,MALE,46+,,,NUMBER,1
2022,MALE,46+,,,NUMBER,1
2022,_X,_X,,,NUMBER,0
2022,_X,_X,,,NUMBER,0
2022,_X,_X,,,NUMBER,0
2022,_X,_X,,,NUMBER,0
2022,_X,_X,,,NUMBER,0
