Year,Sex,Age,Location,Quantile,Units,Value
2000,,,,,PERCENT,63.47412
2000,,,,,HA_TH,143899
2000,,,,,HA_TH,226705
2010,,,,,PERCENT,60.5055
2010,,,,,HA_TH,137169
2010,,,,,HA_TH,226705
2015,,,,,PERCENT,58.07641
2015,,,,,HA_TH,131662.12
2015,,,,,HA_TH,226705
2016,,,,,PERCENT,57.59059
2016,,,,,HA_TH,130560.74
2016,,,,,HA_TH,226705
2017,,,,,PERCENT,57.10477
2017,,,,,HA_TH,129459.37
2017,,,,,HA_TH,226705
2018,,,,,PERCENT,56.61895
2018,,,,,HA_TH,128357.99
2018,,,,,HA_TH,226705
2019,,,,,PERCENT,56.13313
2019,,,,,HA_TH,127256.61
2019,,,,,HA_TH,226705
2020,,,,,PERCENT,55.64731
2020,,,,,HA_TH,126155.24
2020,,,,,HA_TH,226705
