Year,Sex,Age,Location,Units,Value
2000,,,,CON_USD,4.37878
2001,,,,CON_USD,7.03337
2002,,,,CON_USD,27.85723
2003,,,,CON_USD,14.0852
2004,,,,CON_USD,18.27452
2005,,,,CON_USD,31.41677
2006,,,,CON_USD,33.19033
2007,,,,CON_USD,30.8072
2008,,,,CON_USD,41.82519
2009,,,,CON_USD,76.37156
2010,,,,CON_USD,82.06803
2011,,,,CON_USD,97.36768
2012,,,,CON_USD,98.57744
2013,,,,CON_USD,99.8691
2014,,,,CON_USD,106.39383
2015,,,,CON_USD,87.2004
2016,,,,CON_USD,96.10428
2017,,,,CON_USD,88.93568
2018,,,,CON_USD,106.26554
2019,,,,CON_USD,119.55675
2020,,,,CON_USD,117.08813
