Year;Sex;Age;Location;Units;Value
2008;;<5Y;;NUMBER;320463
2008;FEMALE;<1Y;;PER_1000_LIVE_BIRTHS;80.3
2008;FEMALE;<1Y;;NUMBER;105818
2008;FEMALE;<5Y;;PER_1000_LIVE_BIRTHS;113.7
2008;FEMALE;<5Y;;NUMBER;146991
2008;MALE;<1Y;;PER_1000_LIVE_BIRTHS;95.4
2008;MALE;<1Y;;NUMBER;129187
2008;MALE;<5Y;;PER_1000_LIVE_BIRTHS;130.3
2008;MALE;<5Y;;NUMBER;173472
2009;;<1Y;;PER_1000_LIVE_BIRTHS;85.8
2009;;<1Y;;NUMBER;235715
2009;;<5Y;;PER_1000_LIVE_BIRTHS;118
2009;;<5Y;;NUMBER;318497
2009;FEMALE;<1Y;;PER_1000_LIVE_BIRTHS;78.2
2009;FEMALE;<1Y;;NUMBER;106084
2009;FEMALE;<5Y;;PER_1000_LIVE_BIRTHS;109.5
2009;FEMALE;<5Y;;NUMBER;145885
2009;MALE;<1Y;;PER_1000_LIVE_BIRTHS;93
2009;MALE;<1Y;;NUMBER;129631
2009;MALE;<5Y;;PER_1000_LIVE_BIRTHS;125.8
2009;MALE;<5Y;;NUMBER;172612
2010;;<1Y;;PER_1000_LIVE_BIRTHS;83.5
2010;;<1Y;;NUMBER;236037
2010;;<5Y;;PER_1000_LIVE_BIRTHS;113.8
2010;;<5Y;;NUMBER;316388
2010;FEMALE;<1Y;;PER_1000_LIVE_BIRTHS;76.1
2010;FEMALE;<1Y;;NUMBER;106225
2010;FEMALE;<5Y;;PER_1000_LIVE_BIRTHS;105.6
2010;FEMALE;<5Y;;NUMBER;144848
2010;MALE;<1Y;;PER_1000_LIVE_BIRTHS;90.5
2010;MALE;<1Y;;NUMBER;129812
2010;MALE;<5Y;;PER_1000_LIVE_BIRTHS;121.5
2010;MALE;<5Y;;NUMBER;171540
2011;;<1Y;;PER_1000_LIVE_BIRTHS;81.3
2011;;<1Y;;NUMBER;236137
2011;;<5Y;;PER_1000_LIVE_BIRTHS;109.9
2011;;<5Y;;NUMBER;314136
2011;FEMALE;<1Y;;PER_1000_LIVE_BIRTHS;74
2011;FEMALE;<1Y;;NUMBER;106212
2011;FEMALE;<5Y;;PER_1000_LIVE_BIRTHS;101.9
2011;FEMALE;<5Y;;NUMBER;143651
2011;MALE;<1Y;;PER_1000_LIVE_BIRTHS;88.1
2011;MALE;<1Y;;NUMBER;129925
2011;MALE;<5Y;;PER_1000_LIVE_BIRTHS;117.5
2011;MALE;<5Y;;NUMBER;170485
2012;;<1Y;;PER_1000_LIVE_BIRTHS;79.1
2012;;<1Y;;NUMBER;235825
2012;;<5Y;;PER_1000_LIVE_BIRTHS;106.1
2012;;<5Y;;NUMBER;311744
2012;FEMALE;<1Y;;PER_1000_LIVE_BIRTHS;72
2012;FEMALE;<1Y;;NUMBER;106039
2012;FEMALE;<5Y;;PER_1000_LIVE_BIRTHS;98.4
2012;FEMALE;<5Y;;NUMBER;142425
2012;MALE;<1Y;;PER_1000_LIVE_BIRTHS;85.8
2012;MALE;<1Y;;NUMBER;129786
2012;MALE;<5Y;;PER_1000_LIVE_BIRTHS;113.6
2012;MALE;<5Y;;NUMBER;169319
2013;;<1Y;;PER_1000_LIVE_BIRTHS;77
2013;;<1Y;;NUMBER;235182
2013;;<5Y;;PER_1000_LIVE_BIRTHS;102.5
2013;;<5Y;;NUMBER;308923
2013;FEMALE;<1Y;;PER_1000_LIVE_BIRTHS;70.1
2013;FEMALE;<1Y;;NUMBER;105684
2013;FEMALE;<5Y;;PER_1000_LIVE_BIRTHS;95
2013;FEMALE;<5Y;;NUMBER;141092
2013;MALE;<1Y;;PER_1000_LIVE_BIRTHS;83.6
2013;MALE;<1Y;;NUMBER;129498
2013;MALE;<5Y;;PER_1000_LIVE_BIRTHS;109.8
2013;MALE;<5Y;;NUMBER;167831
2014;;<1Y;;PER_1000_LIVE_BIRTHS;75
2014;;<1Y;;NUMBER;234519
2014;;<5Y;;PER_1000_LIVE_BIRTHS;99.2
2014;;<5Y;;NUMBER;306283
2014;FEMALE;<1Y;;PER_1000_LIVE_BIRTHS;68.2
2014;FEMALE;<1Y;;NUMBER;105270
2014;FEMALE;<5Y;;PER_1000_LIVE_BIRTHS;91.8
2014;FEMALE;<5Y;;NUMBER;139795
2014;MALE;<1Y;;PER_1000_LIVE_BIRTHS;81.5
2014;MALE;<1Y;;NUMBER;129249
2014;MALE;<5Y;;PER_1000_LIVE_BIRTHS;106.2
2014;MALE;<5Y;;NUMBER;166488
2015;;<1Y;;PER_1000_LIVE_BIRTHS;73
2015;;<1Y;;NUMBER;233407
2015;;<5Y;;PER_1000_LIVE_BIRTHS;95.9
2015;;<5Y;;NUMBER;303017
2015;FEMALE;<1Y;;PER_1000_LIVE_BIRTHS;66.3
2015;FEMALE;<1Y;;NUMBER;104714
2015;FEMALE;<5Y;;PER_1000_LIVE_BIRTHS;88.7
2015;FEMALE;<5Y;;NUMBER;138101
2015;MALE;<1Y;;PER_1000_LIVE_BIRTHS;79.3
2015;MALE;<1Y;;NUMBER;128693
2015;MALE;<5Y;;PER_1000_LIVE_BIRTHS;102.9
2015;MALE;<5Y;;NUMBER;164916
2016;;<1Y;;PER_1000_LIVE_BIRTHS;71.1
2016;;<1Y;;NUMBER;232148
2016;;<5Y;;PER_1000_LIVE_BIRTHS;92.8
2016;;<5Y;;NUMBER;299716
2016;FEMALE;<1Y;;PER_1000_LIVE_BIRTHS;64.6
2016;FEMALE;<1Y;;NUMBER;104135
2016;FEMALE;<5Y;;PER_1000_LIVE_BIRTHS;85.6
2016;FEMALE;<5Y;;NUMBER;136424
2016;MALE;<1Y;;PER_1000_LIVE_BIRTHS;77.2
2016;MALE;<1Y;;NUMBER;128013
2016;MALE;<5Y;;PER_1000_LIVE_BIRTHS;99.6
2016;MALE;<5Y;;NUMBER;163292
2017;;<1Y;;PER_1000_LIVE_BIRTHS;69.1
2017;;<1Y;;NUMBER;230172
2017;;<5Y;;PER_1000_LIVE_BIRTHS;89.6
2017;;<5Y;;NUMBER;295310
2017;FEMALE;<1Y;;PER_1000_LIVE_BIRTHS;62.8
2017;FEMALE;<1Y;;NUMBER;103203
2017;FEMALE;<5Y;;PER_1000_LIVE_BIRTHS;82.6
2017;FEMALE;<5Y;;NUMBER;134382
2017;MALE;<1Y;;PER_1000_LIVE_BIRTHS;75.2
2017;MALE;<1Y;;NUMBER;126969
2017;MALE;<5Y;;PER_1000_LIVE_BIRTHS;96.2
2017;MALE;<5Y;;NUMBER;160928
2018;;<1Y;;PER_1000_LIVE_BIRTHS;67.3
2018;;<1Y;;NUMBER;228461
2018;;<5Y;;PER_1000_LIVE_BIRTHS;86.6
2018;;<5Y;;NUMBER;291464
2018;FEMALE;<1Y;;PER_1000_LIVE_BIRTHS;61
2018;FEMALE;<1Y;;NUMBER;102317
2018;FEMALE;<5Y;;PER_1000_LIVE_BIRTHS;79.7
2018;FEMALE;<5Y;;NUMBER;132399
2018;MALE;<1Y;;PER_1000_LIVE_BIRTHS;73.2
2018;MALE;<1Y;;NUMBER;126144
2018;MALE;<5Y;;PER_1000_LIVE_BIRTHS;93.1
2018;MALE;<5Y;;NUMBER;159065
2019;;<1Y;;PER_1000_LIVE_BIRTHS;65.5
2019;;<1Y;;NUMBER;226753
2019;;<5Y;;PER_1000_LIVE_BIRTHS;83.8
2019;;<5Y;;NUMBER;287617
2019;FEMALE;<1Y;;PER_1000_LIVE_BIRTHS;59.3
2019;FEMALE;<1Y;;NUMBER;101488
2019;FEMALE;<5Y;;PER_1000_LIVE_BIRTHS;77.1
2019;FEMALE;<5Y;;NUMBER;130459
2019;MALE;<1Y;;PER_1000_LIVE_BIRTHS;71.3
2019;MALE;<1Y;;NUMBER;125265
2019;MALE;<5Y;;PER_1000_LIVE_BIRTHS;90.3
2019;MALE;<5Y;;NUMBER;157158
2020;;<1Y;;PER_1000_LIVE_BIRTHS;63.8
2020;;<1Y;;NUMBER;225011
2020;;<5Y;;PER_1000_LIVE_BIRTHS;81.2
2020;;<5Y;;NUMBER;283864
2020;FEMALE;<1Y;;PER_1000_LIVE_BIRTHS;57.6
2020;FEMALE;<1Y;;NUMBER;100502
2020;FEMALE;<5Y;;PER_1000_LIVE_BIRTHS;74.5
2020;FEMALE;<5Y;;NUMBER;128543
2020;MALE;<1Y;;PER_1000_LIVE_BIRTHS;69.5
2020;MALE;<1Y;;NUMBER;124509
2020;MALE;<5Y;;PER_1000_LIVE_BIRTHS;87.4
2020;MALE;<5Y;;NUMBER;155321
