Year;Sex;Age;Location;Units;Value
2000;;;;NUMBER;63092
2000;;;;NUMBER;21045
2000;;;;NUMBER;9705
2000;;;;NUMBER;15397
2000;;30-70;;PERCENT;28
2000;FEMALE;;;NUMBER;11668
2000;FEMALE;;;NUMBER;31752
2000;FEMALE;;;NUMBER;3381
2000;FEMALE;;;NUMBER;8094
2000;FEMALE;30-70;;PERCENT;24.9
2000;MALE;;;NUMBER;6323
2000;MALE;;;NUMBER;9377
2000;MALE;;;NUMBER;7303
2000;MALE;;;NUMBER;31340
2000;MALE;30-70;;PERCENT;31.5
2005;;;;NUMBER;71654
2005;;;;NUMBER;10769
2005;;;;NUMBER;17582
2005;;;;NUMBER;23733
2005;;30-70;;PERCENT;27.5
2005;FEMALE;;;NUMBER;3957
2005;FEMALE;;;NUMBER;13207
2005;FEMALE;;;NUMBER;9593
2005;FEMALE;;;NUMBER;37335
2005;FEMALE;30-70;;PERCENT;25.4
2005;MALE;;;NUMBER;6813
2005;MALE;;;NUMBER;7989
2005;MALE;;;NUMBER;34319
2005;MALE;;;NUMBER;10526
2005;MALE;30-70;;PERCENT;29.7
2010;;;;NUMBER;82002
2010;;;;NUMBER;12347
2010;;;;NUMBER;27285
2010;;;;NUMBER;20144
2010;;30-70;;PERCENT;26.7
2010;FEMALE;;;NUMBER;14962
2010;FEMALE;;;NUMBER;42513
2010;FEMALE;;;NUMBER;4522
2010;FEMALE;;;NUMBER;10958
2010;FEMALE;30-70;;PERCENT;24.7
2010;MALE;;;NUMBER;7825
2010;MALE;;;NUMBER;9186
2010;MALE;;;NUMBER;12323
2010;MALE;;;NUMBER;39488
2010;MALE;30-70;;PERCENT;28.8
2015;;;;NUMBER;32895
2015;;;;NUMBER;13335
2015;;;;NUMBER;20459
2015;;;;NUMBER;86740
2015;;30-70;;PERCENT;24.3
2015;FEMALE;;;NUMBER;17857
2015;FEMALE;;;NUMBER;10956
2015;FEMALE;;;NUMBER;4802
2015;FEMALE;;;NUMBER;44893
2015;FEMALE;30-70;;PERCENT;22.5
2015;MALE;;;NUMBER;8533
2015;MALE;;;NUMBER;9504
2015;MALE;;;NUMBER;41847
2015;MALE;;;NUMBER;15039
2015;MALE;30-70;;PERCENT;26.2
2019;;;;NUMBER;98582
2019;;;;NUMBER;22352
2019;;;;NUMBER;15410
2019;;;;NUMBER;38857
2019;;30-70;;PERCENT;24
2019;FEMALE;;;NUMBER;5507
2019;FEMALE;;;NUMBER;11854
2019;FEMALE;;;NUMBER;20892
2019;FEMALE;;;NUMBER;50924
2019;FEMALE;30-70;;PERCENT;22.2
2019;MALE;;;NUMBER;17965
2019;MALE;;;NUMBER;9903
2019;MALE;;;NUMBER;10498
2019;MALE;;;NUMBER;47658
2019;MALE;30-70;;PERCENT;26
