Year;Sex;Age;Location;Units;Value
2000;;;;CON_USD;17.21228
2001;;;;CON_USD;52.96934
2002;;;;CON_USD;265.61145
2003;;;;CON_USD;130.943
2004;;;;CON_USD;165.2164
2005;;;;CON_USD;212.32293
2006;;;;CON_USD;168.45326
2007;;;;CON_USD;145.74052
2008;;;;CON_USD;209.90748
2009;;;;CON_USD;335.6157
2010;;;;CON_USD;193.57088
2011;;;;CON_USD;259.5349
2012;;;;CON_USD;227.06244
2013;;;;CON_USD;283.76615
2014;;;;CON_USD;252.58506
2015;;;;CON_USD;253.17848
2016;;;;CON_USD;232.6815
2017;;;;CON_USD;233.05398
2018;;;;CON_USD;224.55551
2019;;;;CON_USD;207.36036
2020;;;;CON_USD;193.79857
