Year;Sex;Age;Location;Units;Value
2000;;15+;;LTPUREAL;1.03392
2000;FEMALE;15+;;LTPUREAL;0.43567
2000;MALE;15+;;LTPUREAL;1.65496
2005;;15+;;LTPUREAL;0.62962
2005;FEMALE;15+;;LTPUREAL;0.26494
2005;MALE;15+;;LTPUREAL;1.00642
2010;;15+;;LTPUREAL;1.45868
2010;FEMALE;15+;;LTPUREAL;0.6071
2010;MALE;15+;;LTPUREAL;2.33432
2015;;15+;;LTPUREAL;1.29655
2015;FEMALE;15+;;LTPUREAL;0.53862
2015;MALE;15+;;LTPUREAL;2.07291
2019;;15+;;LTPUREAL;1.10457
2019;FEMALE;15+;;LTPUREAL;0.45894
2019;MALE;15+;;LTPUREAL;1.76452
