Year,Sex,Age,Location,Quantile,Units,Value
2000,,,,,TONNES,-0.00036
2000,,,,,TONNES,0.5473
2000,,,,,TONNES,0
2000,,,,,TONNES,0.00764
2000,,,,,TONNES,0.9871
2000,,,,,TONNES,-0.00036
2000,,,,,TONNES,0.06712
2000,,,,,TONNES,0.57122
2000,,,,,TONNES,0.02391
2000,,,,,TONNES,0.13218
2000,,,,,TONNES,0.13218
2000,,,,,TONNES,0
2000,,,,,TONNES,0
2000,,,,,TONNES,1.98546
2000,,,,,TONNES,2.68849
2000,,,,,TONNES,0.38827
2000,,,,,TONNES,0.53533
2000,,,,,TONNES,0
2000,,,,,KG_PER_CON_USD,0.06815
2000,,,,,KG_PER_CON_USD,1.62799
2000,,,,,KG_PER_CON_USD,1.55984
2000,,,,,KG_PER_CON_USD,-0.00103
2000,,,,,KG_PER_CON_USD,0.37671
2000,,,,,KG_PER_CON_USD,0.37671
2000,,,,,KG_PER_CON_USD,0
2000,,,,,KG_PER_CON_USD,0
2000,,,,,KG_PER_CON_USD,-0.00103
2000,,,,,KG_PER_CON_USD,0
2000,,,,,KG_PER_CON_USD,0.19128
2000,,,,,KG_PER_CON_USD,0
2000,,,,,KG_PER_CON_USD,1.5257
2000,,,,,KG_PER_CON_USD,1.10658
2000,,,,,KG_PER_CON_USD,5.65863
2000,,,,,KG_PER_CON_USD,7.6623
2000,,,,,KG_PER_CON_USD,2.81329
2000,,,,,KG_PER_CON_USD,0.02178
2000,,,,,TONNES,26907643.644
2000,,,,,TONNES,-17000
2000,,,,,TONNES,6226244.16407
2000,,,,,TONNES,1126393.644
2000,,,,,TONNES,25781250
2000,,,,,TONNES,46498392.52
2000,,,,,TONNES,127127595.86807
2000,,,,,TONNES,0
2000,,,,,TONNES,3161556.5
2000,,,,,TONNES,6226244.16407
2000,,,,,TONNES,25216985
2000,,,,,TONNES,334000
2000,,,,,TONNES,359988
2000,,,,,TONNES,0
2000,,,,,TONNES,0
2000,,,,,TONNES,93659338.06
2000,,,,,TONNES,0
2000,,,,,TONNES,18289691.38
2001,,,,,TONNES,0.18982
2001,,,,,TONNES,0.03367
2001,,,,,TONNES,1.9265
2001,,,,,TONNES,0
2001,,,,,TONNES,0.18982
2001,,,,,TONNES,0.97841
2001,,,,,TONNES,0.00752
2001,,,,,TONNES,0
2001,,,,,TONNES,0.63268
2001,,,,,TONNES,0.66635
2001,,,,,TONNES,0.06359
2001,,,,,TONNES,0.00043
2001,,,,,TONNES,0
2001,,,,,TONNES,0.36752
2001,,,,,TONNES,0.50947
2001,,,,,TONNES,2.78311
2001,,,,,TONNES,0
2001,,,,,TONNES,0.00043
2001,,,,,KG_PER_CON_USD,0.02251
2001,,,,,KG_PER_CON_USD,2.92831
2001,,,,,KG_PER_CON_USD,8.32965
2001,,,,,KG_PER_CON_USD,5.7659
2001,,,,,KG_PER_CON_USD,1.09997
2001,,,,,KG_PER_CON_USD,1.5248
2001,,,,,KG_PER_CON_USD,0
2001,,,,,KG_PER_CON_USD,0
2001,,,,,KG_PER_CON_USD,0.0013
2001,,,,,KG_PER_CON_USD,0.56811
2001,,,,,KG_PER_CON_USD,0
2001,,,,,KG_PER_CON_USD,0.19031
2001,,,,,KG_PER_CON_USD,0.56811
2001,,,,,KG_PER_CON_USD,0
2001,,,,,KG_PER_CON_USD,1.99435
2001,,,,,KG_PER_CON_USD,0.0013
2001,,,,,KG_PER_CON_USD,1.89358
2001,,,,,KG_PER_CON_USD,0.10076
2001,,,,,TONNES,17798616.48
2001,,,,,TONNES,0
2001,,,,,TONNES,93393314.94
2001,,,,,TONNES,135186645.65439
2001,,,,,TONNES,47382898.44
2001,,,,,TONNES,30640000
2001,,,,,TONNES,1630473.2314
2001,,,,,TONNES,9192487.48299
2001,,,,,TONNES,21000
2001,,,,,TONNES,32270473.2314
2001,,,,,TONNES,0
2001,,,,,TONNES,0
2001,,,,,TONNES,364154
2001,,,,,TONNES,330000
2001,,,,,TONNES,24672788
2001,,,,,TONNES,9192487.48299
2001,,,,,TONNES,3079341.1
2001,,,,,TONNES,0
2002,,,,,TONNES,0
2002,,,,,TONNES,2.79934
2002,,,,,TONNES,0.48585
2002,,,,,TONNES,0.34927
2002,,,,,TONNES,0
2002,,,,,TONNES,-0.00034
2002,,,,,TONNES,0.06003
2002,,,,,TONNES,-0.00034
2002,,,,,TONNES,0.67987
2002,,,,,TONNES,0
2002,,,,,TONNES,0.00719
2002,,,,,TONNES,0.96745
2002,,,,,TONNES,0.21134
2002,,,,,TONNES,0
2002,,,,,TONNES,1.86979
2002,,,,,TONNES,0.71855
2002,,,,,TONNES,0.03868
2002,,,,,TONNES,0.21134
2002,,,,,KG_PER_CON_USD,2.03546
2002,,,,,KG_PER_CON_USD,-0.00102
2002,,,,,KG_PER_CON_USD,2.15127
2002,,,,,KG_PER_CON_USD,1.45458
2002,,,,,KG_PER_CON_USD,0
2002,,,,,KG_PER_CON_USD,1.04568
2002,,,,,KG_PER_CON_USD,0
2002,,,,,KG_PER_CON_USD,0
2002,,,,,KG_PER_CON_USD,0.17972
2002,,,,,KG_PER_CON_USD,0.11581
2002,,,,,KG_PER_CON_USD,0.63272
2002,,,,,KG_PER_CON_USD,5.59795
2002,,,,,KG_PER_CON_USD,8.38092
2002,,,,,KG_PER_CON_USD,2.89645
2002,,,,,KG_PER_CON_USD,0.02153
2002,,,,,KG_PER_CON_USD,0.63272
2002,,,,,KG_PER_CON_USD,0
2002,,,,,KG_PER_CON_USD,-0.00102
2002,,,,,TONNES,330000
2002,,,,,TONNES,358608
2002,,,,,TONNES,0
2002,,,,,TONNES,0
2002,,,,,TONNES,35835394.9809
2002,,,,,TONNES,-17000
