Year,Sex,Age,Location,Units,Value
2000,,,,PER_100000_POP,38.1
2000,FEMALE,,,PER_100000_POP,29.1
2000,MALE,,,PER_100000_POP,47.2
2005,,,,PER_100000_POP,36.8
2005,FEMALE,,,PER_100000_POP,28.1
2005,MALE,,,PER_100000_POP,45.6
2010,,,,PER_100000_POP,36.0
2010,FEMALE,,,PER_100000_POP,26.2
2010,MALE,,,PER_100000_POP,46.0
2015,,,,PER_100000_POP,33.5
2015,FEMALE,,,PER_100000_POP,24.0
2015,MALE,,,PER_100000_POP,43.0
2019,,,,PER_100000_POP,34.9
2019,FEMALE,,,PER_100000_POP,24.4
2019,MALE,,,PER_100000_POP,45.4
