Year,Sex,Age,Location,Units,Value
2000,,,,PERCENT,40
2001,,,,PERCENT,30
2002,,,,PERCENT,38
2003,,,,PERCENT,41
2004,,,,PERCENT,54
2005,,,,PERCENT,60
2006,,,,PERCENT,62
2007,,,,PERCENT,70
2008,,,,PERCENT,65
2009,,,,PERCENT,72
2010,,,,PERCENT,60
2011,,,,PERCENT,74
2011,,,,PERCENT,9
2012,,,,PERCENT,75
2012,,,,PERCENT,13
2013,,,,PERCENT,68
2013,,,,PERCENT,29
2014,,,,PERCENT,68
2014,,,,PERCENT,56
2015,,,,PERCENT,63
2015,,,,PERCENT,66
2016,,,,PERCENT,57
2016,,,,PERCENT,58
2017,,,,PERCENT,57
2017,,,,PERCENT,58
2018,,,,PERCENT,57
2018,,,,PERCENT,58
2019,,,,PERCENT,57
2019,,,,PERCENT,58
2020,,,,PERCENT,57
2020,,,,PERCENT,58
