Year,Sex,Age,Location,Units,Value
2012,,,,NUMBER,1
2012,,,,NUMBER,57
2013,,,,NUMBER,1
2013,,,,NUMBER,59
2014,,,,NUMBER,1
2014,,,,NUMBER,77
2015,,,,NUMBER,1
2015,,,,NUMBER,81
2016,,,,NUMBER,0
2016,,,,NUMBER,1
2016,,,,NUMBER,83
2017,,,,NUMBER,1
2017,,,,NUMBER,0
2017,,,,NUMBER,1
2017,,,,NUMBER,86
2018,,,,NUMBER,0
2018,,,,NUMBER,1
2018,,,,NUMBER,87
2019,,,,NUMBER,0
2019,,,,NUMBER,1
2019,,,,NUMBER,93
2020,,,,NUMBER,0
2020,,,,NUMBER,1
2020,,,,NUMBER,95
2021,,,,NUMBER,1
2021,,,,NUMBER,0
2021,,,,NUMBER,1
2021,,,,NUMBER,96
2022,,,,NUMBER,0
2022,,,,NUMBER,1
2022,,,,NUMBER,97
