Year,Sex,Age,Location,Quantile,Units,Value
2000,,,,,PER_100000_POP,7.9
2000,,,,,NUMBER,3698
2000,FEMALE,,,,PER_100000_POP,3.3
2000,FEMALE,,,,NUMBER,780
2000,MALE,,,,PER_100000_POP,12.5
2000,MALE,,,,NUMBER,2918
2005,,,,,PER_100000_POP,7.5
2005,,,,,NUMBER,4113
2005,FEMALE,,,,PER_100000_POP,3.4
2005,FEMALE,,,,NUMBER,932
2005,MALE,,,,PER_100000_POP,11.7
2005,MALE,,,,NUMBER,3180
2010,,,,,PER_100000_POP,7.2
2010,,,,,NUMBER,4640
2010,FEMALE,,,,PER_100000_POP,3.2
2010,FEMALE,,,,NUMBER,1047
2010,MALE,,,,PER_100000_POP,11.2
2010,MALE,,,,NUMBER,3593
2015,,,,,PER_100000_POP,6.6
2015,,,,,NUMBER,5037
2015,FEMALE,,,,PER_100000_POP,2.8
2015,FEMALE,,,,NUMBER,1084
2015,MALE,,,,PER_100000_POP,10.4
2015,MALE,,,,NUMBER,3953
2019,,,,,PER_100000_POP,6.7
2019,,,,,NUMBER,5812
2019,FEMALE,,,,PER_100000_POP,2.8
2019,FEMALE,,,,NUMBER,1206
2019,MALE,,,,PER_100000_POP,10.6
2019,MALE,,,,NUMBER,4606
