Year,Sex,Age,Location,Units,Value
2000,,,,USD/m3,0.20339
2000,,,,USD/m3,27.72189
2000,,,,USD/m3,18.99767
2000,,,,USD/m3,19.7146
2001,,,,USD/m3,14.46459
2001,,,,USD/m3,17.30507
2001,,,,USD/m3,35.86552
2001,,,,USD/m3,0.32244
2002,,,,USD/m3,0.25651
2002,,,,USD/m3,38.93782
2002,,,,USD/m3,18.94128
2002,,,,USD/m3,15.83001
2003,,,,USD/m3,17.49858
2003,,,,USD/m3,35.47347
2003,,,,USD/m3,0.25306
2003,,,,USD/m3,19.40433
2004,,,,USD/m3,40.30022
2004,,,,USD/m3,17.40628
2004,,,,USD/m3,0.23548
2004,,,,USD/m3,20.44503
2005,,,,USD/m3,21.93881
2005,,,,USD/m3,0.21426
2005,,,,USD/m3,19.06196
2005,,,,USD/m3,41.68976
2006,,,,USD/m3,40.72725
2006,,,,USD/m3,20.65307
2006,,,,USD/m3,0.20978
2006,,,,USD/m3,22.81372
2007,,,,USD/m3,24.08306
2007,,,,USD/m3,0.21402
2007,,,,USD/m3,21.47241
2007,,,,USD/m3,44.04134
2008,,,,USD/m3,51.50936
2008,,,,USD/m3,20.39183
2008,,,,USD/m3,0.23646
2008,,,,USD/m3,24.95427
2009,,,,USD/m3,25.46113
2009,,,,USD/m3,0.25306
2009,,,,USD/m3,20.67198
2009,,,,USD/m3,52.97432
2010,,,,USD/m3,22.12255
2010,,,,USD/m3,0.23732
2010,,,,USD/m3,61.59207
2010,,,,USD/m3,28.2966
2011,,,,USD/m3,30.23686
2011,,,,USD/m3,69.33787
2011,,,,USD/m3,0.24141
2011,,,,USD/m3,22.52906
2012,,,,USD/m3,24.32862
2012,,,,USD/m3,0.16082
2012,,,,USD/m3,72.34727
2012,,,,USD/m3,32.09848
2013,,,,USD/m3,34.90534
2013,,,,USD/m3,80.47546
2013,,,,USD/m3,0.15708
2013,,,,USD/m3,25.88987
2014,,,,USD/m3,27.59437
2014,,,,USD/m3,0.15693
2014,,,,USD/m3,93.0303
2014,,,,USD/m3,38.76061
2015,,,,USD/m3,41.51254
2015,,,,USD/m3,99.16019
2015,,,,USD/m3,0.16487
2015,,,,USD/m3,29.70403
2016,,,,USD/m3,30.51698
2016,,,,USD/m3,0.17964
2016,,,,USD/m3,99.43092
2016,,,,USD/m3,42.1251
2017,,,,USD/m3,44.61334
2017,,,,USD/m3,104.25488
2017,,,,USD/m3,0.19955
2017,,,,USD/m3,32.64942
2018,,,,USD/m3,34.60782
2018,,,,USD/m3,0.20333
2018,,,,USD/m3,113.12341
2018,,,,USD/m3,47.85008
2019,,,,USD/m3,49.55037
2019,,,,USD/m3,108.81737
2019,,,,USD/m3,0.22128
2019,,,,USD/m3,38.46491
