Year,Sex,Age,Location,Quantile,Units,Value
2000,,,,,INDEX,0.88132
2001,,,,,INDEX,0.88132
2002,,,,,INDEX,0.88126
2003,,,,,INDEX,0.88112
2004,,,,,INDEX,0.88115
2005,,,,,INDEX,0.88118
2006,,,,,INDEX,0.88108
2007,,,,,INDEX,0.88105
2008,,,,,INDEX,0.88101
2009,,,,,INDEX,0.88097
2010,,,,,INDEX,0.88093
2011,,,,,INDEX,0.88092
2012,,,,,INDEX,0.88086
2013,,,,,INDEX,0.88079
2014,,,,,INDEX,0.88083
2015,,,,,INDEX,0.88071
2016,,,,,INDEX,0.88081
2017,,,,,INDEX,0.88073
2018,,,,,INDEX,0.88054
2019,,,,,INDEX,0.88071
2020,,,,,INDEX,0.88061
2021,,,,,INDEX,0.88053
2022,,,,,INDEX,0.88049
