Year,Sex,Age,Location,Units,Value
2002,,,,CON_USD,1.50592
2003,,,,CON_USD,7.64171
2004,,,,CON_USD,4.08841
2005,,,,CON_USD,12.65447
2006,,,,CON_USD,14.97559
2007,,,,CON_USD,16.08471
2008,,,,CON_USD,74.81409
2009,,,,CON_USD,29.19385
2010,,,,CON_USD,32.24607
2011,,,,CON_USD,81.75918
2012,,,,CON_USD,77.47044
2013,,,,CON_USD,106.66936
2014,,,,CON_USD,71.56849
2015,,,,CON_USD,280.26572
2016,,,,CON_USD,119.8289
2017,,,,CON_USD,83.97573
2018,,,,CON_USD,159.18411
2019,,,,CON_USD,42.78905
2020,,,,CON_USD,109.3562
