Year,Sex,Age,Location,Units,Value
2000,,<5Y,,NUM_TH,562.1
2001,,<5Y,,PER_POP_U5,15.9
2001,,<5Y,,NUM_TH,1416.9
2001,,<5Y,,PER_POP_U5,6.7
2001,,<5Y,,NUM_TH,603.1
2002,,<5Y,,NUM_TH,637.5
2003,,<5Y,,NUM_TH,663.3
2004,,<5Y,,NUM_TH,677.9
2005,,<5Y,,NUM_TH,680.2
2006,,<5Y,,NUM_TH,674.2
2007,,<5Y,,PER_POP_U5,10.4
2007,,<5Y,,NUM_TH,1138.8
2007,,<5Y,,PER_POP_U5,7.0
2007,,<5Y,,NUM_TH,659.6
2008,,<5Y,,NUM_TH,641.7
2009,,<5Y,,NUM_TH,625.1
2010,,<5Y,,PER_POP_U5,8.5
2010,,<5Y,,NUM_TH,1031.5
2010,,<5Y,,PER_POP_U5,4.9
2010,,<5Y,,NUM_TH,612.1
2011,,<5Y,,NUM_TH,603.7
2012,,<5Y,,NUM_TH,597.6
2013,,<5Y,,PER_POP_U5,8.1
2013,,<5Y,,NUM_TH,1085.1
2013,,<5Y,,PER_POP_U5,4.4
2013,,<5Y,,NUM_TH,594.8
2014,,<5Y,,NUM_TH,595.9
2015,,<5Y,,NUM_TH,601.0
2016,,<5Y,,NUM_TH,610.5
2017,,<5Y,,PER_POP_U5,6.4
2017,,<5Y,,NUM_TH,956.5
2017,,<5Y,,PER_POP_U5,3.8
2017,,<5Y,,NUM_TH,622.1
2018,,<5Y,,NUM_TH,636.2
2019,,<5Y,,NUM_TH,652.8
2020,,<5Y,,NUM_TH,671.0
