Year,Sex,Age,Location,Units,Value
2000,,,,TONNES_M,0.044
2000,,,,TONNES_M,0.85
2000,,,,KG_PER_CON_USD,0.024
2000,,,,KG_PER_CON_USD,0.008
2001,,,,TONNES_M,0.71
2001,,,,TONNES_M,0.056
2001,,,,KG_PER_CON_USD,0.021
2001,,,,KG_PER_CON_USD,0.012
2002,,,,TONNES_M,0.068
2002,,,,TONNES_M,0.77
2002,,,,KG_PER_CON_USD,0.022
2002,,,,KG_PER_CON_USD,0.014
2003,,,,TONNES_M,0.94
2003,,,,TONNES_M,0.096
2003,,,,KG_PER_CON_USD,0.025
2003,,,,KG_PER_CON_USD,0.021
2004,,,,TONNES_M,0.112
2004,,,,TONNES_M,1.01
2004,,,,KG_PER_CON_USD,0.025
2004,,,,KG_PER_CON_USD,0.023
2005,,,,TONNES_M,1.28
2005,,,,TONNES_M,0.131
2005,,,,KG_PER_CON_USD,0.03
2005,,,,KG_PER_CON_USD,0.027
2006,,,,TONNES_M,0.14
2006,,,,TONNES_M,1.39
2006,,,,KG_PER_CON_USD,0.031
2006,,,,KG_PER_CON_USD,0.03
2007,,,,TONNES_M,1.54
2007,,,,TONNES_M,0.14
2007,,,,KG_PER_CON_USD,0.032
2007,,,,KG_PER_CON_USD,0.028
2008,,,,TONNES_M,0.137
2008,,,,TONNES_M,1.72
2008,,,,KG_PER_CON_USD,0.034
2008,,,,KG_PER_CON_USD,0.027
2009,,,,TONNES_M,1.74
2009,,,,TONNES_M,0.131
2009,,,,KG_PER_CON_USD,0.033
2009,,,,KG_PER_CON_USD,0.029
2010,,,,TONNES_M,0.137
2010,,,,TONNES_M,1.87
2010,,,,KG_PER_CON_USD,0.033
2010,,,,KG_PER_CON_USD,0.031
2011,,,,TONNES_M,2.35
2011,,,,TONNES_M,0.137
2011,,,,KG_PER_CON_USD,0.039
2011,,,,KG_PER_CON_USD,0.031
2012,,,,TONNES_M,0.128
2012,,,,TONNES_M,2.27
2012,,,,KG_PER_CON_USD,0.036
2012,,,,KG_PER_CON_USD,0.027
2013,,,,TONNES_M,3.48
2013,,,,TONNES_M,0.128
2013,,,,KG_PER_CON_USD,0.05
2013,,,,KG_PER_CON_USD,0.025
2014,,,,TONNES_M,0.128
2014,,,,TONNES_M,4.66
2014,,,,KG_PER_CON_USD,0.061
2014,,,,KG_PER_CON_USD,0.022
2015,,,,TONNES_M,2.74
2015,,,,TONNES_M,0.05
2015,,,,KG_PER_CON_USD,0.034
2015,,,,KG_PER_CON_USD,0.008
2016,,,,TONNES_M,0.068
2016,,,,TONNES_M,1.98
2016,,,,KG_PER_CON_USD,0.024
2016,,,,KG_PER_CON_USD,0.01
2017,,,,TONNES_M,2.2
2017,,,,TONNES_M,0.051
2017,,,,KG_PER_CON_USD,0.026
2017,,,,KG_PER_CON_USD,0.007
2018,,,,TONNES_M,0.043
2018,,,,TONNES_M,2.12
2018,,,,KG_PER_CON_USD,0.023
2018,,,,KG_PER_CON_USD,0.006
2019,,,,TONNES_M,2.21
2019,,,,TONNES_M,0.018
2019,,,,KG_PER_CON_USD,0.023
2019,,,,KG_PER_CON_USD,0.002
