Year,Sex,Age,Location,Units,Value
2000,,,,PERCENT,0.1877
2001,,,,PERCENT,0.54691
2002,,,,PERCENT,0.78551
2003,,,,PERCENT,0.58024
2004,,,,PERCENT,0.85192
2005,,,,PERCENT,0.94062
2006,,,,PERCENT,0.87851
2007,,,,PERCENT,1.18475
2008,,,,PERCENT,2.01628
2009,,,,PERCENT,2.34219
2010,,,,PERCENT,2.34279
2011,,,,PERCENT,2.05951
2012,,,,PERCENT,2.11549
2013,,,,PERCENT,2.26037
2014,,,,PERCENT,2.05346
2015,,,,PERCENT,1.87908
2016,,,,PERCENT,1.48845
2017,,,,PERCENT,1.68089
2018,,,,PERCENT,1.45625
2019,,,,PERCENT,1.69094
2020,,,,PERCENT,1.59696
