Year;Sex;Age;Location;Units;Value
2010;;;;PERCENT;39,6
2011;;;;PERCENT;59,8
2012;;;;PERCENT;64,9
2013;;;;PERCENT;60,8
2014;;;;PERCENT;69,1
2015;;;;PERCENT;74,9
2016;;;;PERCENT;70,5
2017;;;;PERCENT;65,21
2018;;;;PERCENT;
2019;;;;PERCENT;
2020;;;;PERCENT;64
