Year,Sex,Age,Location,Quantile,Units,Value
2000,BOTHSEX,<1Y,,,PER_1000_LIVE_BIRTHS,106.5
2000,BOTHSEX,<1Y,,,NUMBER,225201.0
2000,BOTHSEX,<5Y,,,PER_1000_LIVE_BIRTHS,159.3
2000,BOTHSEX,<5Y,,,NUMBER,330545.0
2000,FEMALE,<1Y,,,PER_1000_LIVE_BIRTHS,97.9
2000,FEMALE,<1Y,,,NUMBER,102148.0
2000,FEMALE,<5Y,,,PER_1000_LIVE_BIRTHS,149.5
2000,FEMALE,<5Y,,,NUMBER,152918.0
2000,MALE,<1Y,,,PER_1000_LIVE_BIRTHS,114.8
2000,MALE,<1Y,,,NUMBER,123053.0
2000,MALE,<5Y,,,PER_1000_LIVE_BIRTHS,168.6
2000,MALE,<5Y,,,NUMBER,177627.0
2001,BOTHSEX,<1Y,,,PER_1000_LIVE_BIRTHS,104.4
2001,BOTHSEX,<1Y,,,NUMBER,226885.0
2001,BOTHSEX,<5Y,,,PER_1000_LIVE_BIRTHS,154.9
2001,BOTHSEX,<5Y,,,NUMBER,330631.0
2001,FEMALE,<1Y,,,PER_1000_LIVE_BIRTHS,95.8
2001,FEMALE,<1Y,,,NUMBER,102789.0
2001,FEMALE,<5Y,,,PER_1000_LIVE_BIRTHS,145.2
2001,FEMALE,<5Y,,,NUMBER,152724.0
2001,MALE,<1Y,,,PER_1000_LIVE_BIRTHS,112.6
2001,MALE,<1Y,,,NUMBER,124096.0
2001,MALE,<5Y,,,PER_1000_LIVE_BIRTHS,164.3
2001,MALE,<5Y,,,NUMBER,177907.0
2002,BOTHSEX,<1Y,,,PER_1000_LIVE_BIRTHS,102.2
2002,BOTHSEX,<1Y,,,NUMBER,228389.0
2002,BOTHSEX,<5Y,,,PER_1000_LIVE_BIRTHS,150.4
2002,BOTHSEX,<5Y,,,NUMBER,330077.0
2002,FEMALE,<1Y,,,PER_1000_LIVE_BIRTHS,93.6
2002,FEMALE,<1Y,,,NUMBER,103365.0
2002,FEMALE,<5Y,,,PER_1000_LIVE_BIRTHS,140.7
2002,FEMALE,<5Y,,,NUMBER,152302.0
2002,MALE,<1Y,,,PER_1000_LIVE_BIRTHS,110.3
2002,MALE,<1Y,,,NUMBER,125024.0
2002,MALE,<5Y,,,PER_1000_LIVE_BIRTHS,159.6
2002,MALE,<5Y,,,NUMBER,177775.0
2003,BOTHSEX,<1Y,,,PER_1000_LIVE_BIRTHS,99.9
2003,BOTHSEX,<1Y,,,NUMBER,229781.0
2003,BOTHSEX,<5Y,,,PER_1000_LIVE_BIRTHS,145.7
2003,BOTHSEX,<5Y,,,NUMBER,329091.0
2003,FEMALE,<1Y,,,PER_1000_LIVE_BIRTHS,91.5
2003,FEMALE,<1Y,,,NUMBER,103899.0
2003,FEMALE,<5Y,,,PER_1000_LIVE_BIRTHS,136.2
2003,FEMALE,<5Y,,,NUMBER,151733.0
2003,MALE,<1Y,,,PER_1000_LIVE_BIRTHS,107.9
2003,MALE,<1Y,,,NUMBER,125882.0
2003,MALE,<5Y,,,PER_1000_LIVE_BIRTHS,154.7
2003,MALE,<5Y,,,NUMBER,177358.0
2004,BOTHSEX,<1Y,,,PER_1000_LIVE_BIRTHS,97.5
2004,BOTHSEX,<1Y,,,NUMBER,230944.0
2004,BOTHSEX,<5Y,,,PER_1000_LIVE_BIRTHS,140.9
2004,BOTHSEX,<5Y,,,NUMBER,327486.0
2004,FEMALE,<1Y,,,PER_1000_LIVE_BIRTHS,89.2
2004,FEMALE,<1Y,,,NUMBER,104301.0
2004,FEMALE,<5Y,,,PER_1000_LIVE_BIRTHS,131.6
2004,FEMALE,<5Y,,,NUMBER,150768.0
2004,MALE,<1Y,,,PER_1000_LIVE_BIRTHS,105.5
2004,MALE,<1Y,,,NUMBER,126643.0
2004,MALE,<5Y,,,PER_1000_LIVE_BIRTHS,149.8
