Year,Sex,Age,Location,Units,Value
2010,,,,PERCENT,9.5785
2013,,,,PERCENT,16.17474
2014,,,,PERCENT,10.55392
2015,,,,PERCENT,11.73837
2016,,,,PERCENT,14.63542
2017,,,,PERCENT,14.00766
