Year;Sex;Age;Location;Units;Value
2005;;;;CON_PPP_USD;NaN
2005;;;;CON_PPP_USD;NaN
2005;FEMALE;;;CON_PPP_USD;NaN
2005;FEMALE;;;CON_PPP_USD;NaN
2005;MALE;;;CON_PPP_USD;NaN
2005;MALE;;;CON_PPP_USD;NaN
2008;;;;CON_PPP_USD;NaN
2008;;;;CON_PPP_USD;NaN
2008;FEMALE;;;CON_PPP_USD;NaN
2008;FEMALE;;;CON_PPP_USD;NaN
2008;MALE;;;CON_PPP_USD;NaN
2008;MALE;;;CON_PPP_USD;NaN
2009;;;;CON_PPP_USD;NaN
2009;;;;CON_PPP_USD;NaN
2009;FEMALE;;;CON_PPP_USD;NaN
2009;FEMALE;;;CON_PPP_USD;NaN
2009;MALE;;;CON_PPP_USD;NaN
2009;MALE;;;CON_PPP_USD;NaN
2011;;;;CON_PPP_USD;NaN
2011;;;;CON_PPP_USD;NaN
2011;FEMALE;;;CON_PPP_USD;NaN
2011;FEMALE;;;CON_PPP_USD;NaN
2011;MALE;;;CON_PPP_USD;NaN
2011;MALE;;;CON_PPP_USD;NaN
2012;;;;CON_PPP_USD;NaN
2012;;;;CON_PPP_USD;NaN
2012;FEMALE;;;CON_PPP_USD;NaN
2012;FEMALE;;;CON_PPP_USD;NaN
2012;MALE;;;CON_PPP_USD;NaN
2012;MALE;;;CON_PPP_USD;NaN
2013;;;;CON_PPP_USD;NaN
2013;;;;CON_PPP_USD;NaN
2013;FEMALE;;;CON_PPP_USD;NaN
2013;FEMALE;;;CON_PPP_USD;NaN
2013;MALE;;;CON_PPP_USD;NaN
2013;MALE;;;CON_PPP_USD;NaN
2014;;;;CON_PPP_USD;NaN
2014;;;;CON_PPP_USD;NaN
2014;FEMALE;;;CON_PPP_USD;NaN
2014;FEMALE;;;CON_PPP_USD;NaN
2014;MALE;;;CON_PPP_USD;NaN
2014;MALE;;;CON_PPP_USD;NaN
2015;;;;CON_PPP_USD;NaN
2015;;;;CON_PPP_USD;NaN
2015;FEMALE;;;CON_PPP_USD;NaN
2015;FEMALE;;;CON_PPP_USD;NaN
2015;MALE;;;CON_PPP_USD;NaN
2015;MALE;;;CON_PPP_USD;NaN
2016;;;;CON_PPP_USD;NaN
2016;;;;CON_PPP_USD;NaN
2016;FEMALE;;;CON_PPP_USD;NaN
2016;FEMALE;;;CON_PPP_USD;NaN
2016;MALE;;;CON_PPP_USD;NaN
2016;MALE;;;CON_PPP_USD;NaN
