Year,Sex,Age,Location,Units,Value
2000,,,,PER_1000_POP,469.52373
2001,,,,PER_1000_POP,469.83413
2002,,,,PER_1000_POP,470.33801
2003,,,,PER_1000_POP,474.5093
2004,,,,PER_1000_POP,481.2416
2005,,,,PER_1000_POP,481.68907
2006,,,,PER_1000_POP,473.91407
2007,,,,PER_1000_POP,464.05513
2008,,,,PER_1000_POP,444.96345
2009,,,,PER_1000_POP,413.96724
2010,,,,PER_1000_POP,389.91272
2011,,,,PER_1000_POP,365.71904
2012,,,,PER_1000_POP,345.52394
2013,,,,PER_1000_POP,326.49209
2014,,,,PER_1000_POP,307.50466
2015,,,,PER_1000_POP,295.76354
2016,,,,PER_1000_POP,297.48054
2017,,,,PER_1000_POP,308.21041
2018,,,,PER_1000_POP,320.87887
2019,,,,PER_1000_POP,320.67469
2020,,,,PER_1000_POP,324.20743
