Year,Sex,Age,Location,Quantile,Units,Value
2001,,,,,PERCENT,60.7
2007,,,,,PERCENT,64.4
2010,,,,,PERCENT,74.1
2014,,,,,PERCENT,80.1
2018,,,,,PERCENT,85.2
2020,,,,,PERCENT,82.0
