Value,Disaggregation combinations using this value,Number of indicators
1-14,1,1
10-14,1,1
15-19,1,1
15-24,12,4
15-29,1,1
15-49,7,5
15-64,1,1
15+,24,9
<15Y,2,2
18-29,1,1
<1M,1,1
<1Y,7,2
20-24,1,1
25+,6,2
30-49,1,1
30-70,3,1
<=45Y,4,1
46+,2,1
5-17,3,1
50-64,1,1
50+,3,1
<5Y,15,5
65+,2,2
_X,1,1
ALLAGE,34,2
M12T23,1,1
M24T35,1,1
M36T47,1,1
M36T59,3,1
M48T59,1,1
