Value,Disaggregation combinations using this value,Number of indicators
CELIBATAIRE,1,1
DIVORCE-E-SEPARE-E-,1,1
MARIE-E-MONOGAME,1,1
MARIE-E-POLYGAME,1,1
UNION LIBRE,1,1
VEUF-VE,1,1
