Indicator,Disaggregation combinations using this value
#1-1-1,8
#10-3-1,2
#16-b-1,2
#3-2-1,4
#3-2-2,2
#3-3-1,4
#3-4-1,1
#3-5-1,1
#3-5-2,1
#3-a-1,1
#4-1-2,17
#4-2-1,1
#4-5-1,7
#8-10-2,1
#8-5-2,3
#8-6-1,1
#8-7-1,1
