Year,Value,Units
2000,469.52373,PER_1000_POP
2001,469.83413,PER_1000_POP
2002,470.33801,PER_1000_POP
2003,474.5093,PER_1000_POP
2004,481.2416,PER_1000_POP
2005,481.68907,PER_1000_POP
2006,473.91407,PER_1000_POP
2007,464.05513,PER_1000_POP
2008,444.96345,PER_1000_POP
2009,413.96724,PER_1000_POP
2010,389.91272,PER_1000_POP
2011,365.71904,PER_1000_POP
2012,345.52394,PER_1000_POP
2013,326.49209,PER_1000_POP
2014,307.50466,PER_1000_POP
2015,295.76354,PER_1000_POP
2016,297.48054,PER_1000_POP
2017,308.21041,PER_1000_POP
2018,320.87887,PER_1000_POP
2019,320.67469,PER_1000_POP
2020,324.20743,PER_1000_POP
