Year,Value,Units
2001,32.87172,PERCENT
2001,,INDEX
2001,,PERCENT
2002,26.58381,PERCENT
2002,,INDEX
2002,,PERCENT
2003,26.0536,PERCENT
2003,,INDEX
2003,,PERCENT
2004,23.87929,PERCENT
2004,,INDEX
2004,,PERCENT
2005,21.5799,PERCENT
2005,,INDEX
2005,,PERCENT
2006,21.21021,PERCENT
2006,,INDEX
2006,,PERCENT
2007,21.60158,PERCENT
2007,,INDEX
2007,,PERCENT
2008,22.61826,PERCENT
2008,,INDEX
2008,,PERCENT
2009,23.67491,PERCENT
2009,,INDEX
2009,,PERCENT
2010,21.42838,PERCENT
2010,0.083,INDEX
2010,1.77,PERCENT
2011,20.91722,PERCENT
2011,0.119,INDEX
2011,2.5,PERCENT
2012,20.44105,PERCENT
2012,0.301,INDEX
2012,6.16,PERCENT
2013,19.31671,PERCENT
2013,0.101,INDEX
2013,1.96,PERCENT
2014,18.56248,PERCENT
2014,0.097,INDEX
2014,1.81,PERCENT
2015,18.37048,PERCENT
2015,0.153,INDEX
2015,2.8,PERCENT
2016,19.26847,PERCENT
2016,0.066,INDEX
2016,1.28,PERCENT
2017,19.89304,PERCENT
2017,0.056,INDEX
2017,1.11,PERCENT
2018,19.16177,PERCENT
2018,0.03,INDEX
2018,0.57,PERCENT
2019,19.96523,PERCENT
2019,0.062,INDEX
2019,1.24,PERCENT
2020,20.33339,PERCENT
2020,0.048,INDEX
2020,0.98,PERCENT
