Year,Value,Units
2001,38.2,PERCENT
2001,18.5,NUM_M
2002,38.2,PERCENT
2002,19.1,NUM_M
2003,38.2,PERCENT
2003,19.7,NUM_M
2004,38.3,PERCENT
2004,20.3,NUM_M
2005,38.4,PERCENT
2005,21.1,NUM_M
2006,38.5,PERCENT
2006,21.8,NUM_M
2007,38.6,PERCENT
2007,22.6,NUM_M
2008,38.7,PERCENT
2008,23.4,NUM_M
2009,38.7,PERCENT
2009,24.2,NUM_M
2010,38.8,PERCENT
2010,25.1,NUM_M
2011,40.0,PERCENT
2011,26.7,NUM_M
2012,41.5,PERCENT
2012,28.6,NUM_M
2013,41.5,PERCENT
2013,29.6,NUM_M
2014,40.7,PERCENT
2014,30.0,NUM_M
2015,40.1,PERCENT
2015,30.6,NUM_M
2016,39.9,PERCENT
2016,31.5,NUM_M
2017,40.2,PERCENT
2017,32.7,NUM_M
2018,40.4,PERCENT
2018,34.0,NUM_M
2019,41.7,PERCENT
2019,36.2,NUM_M
