Year,Value,Units
2000,0.044,TONNES_M
2000,0.85,TONNES_M
2000,0.024,KG_PER_CON_USD
2000,0.008,KG_PER_CON_USD
2001,0.71,TONNES_M
2001,0.056,TONNES_M
2001,0.021,KG_PER_CON_USD
2001,0.012,KG_PER_CON_USD
2002,0.068,TONNES_M
2002,0.77,TONNES_M
2002,0.022,KG_PER_CON_USD
2002,0.014,KG_PER_CON_USD
2003,0.94,TONNES_M
2003,0.096,TONNES_M
2003,0.025,KG_PER_CON_USD
2003,0.021,KG_PER_CON_USD
2004,0.112,TONNES_M
2004,1.01,TONNES_M
2004,0.025,KG_PER_CON_USD
2004,0.023,KG_PER_CON_USD
2005,1.28,TONNES_M
2005,0.131,TONNES_M
2005,0.03,KG_PER_CON_USD
2005,0.027,KG_PER_CON_USD
2006,0.14,TONNES_M
2006,1.39,TONNES_M
2006,0.031,KG_PER_CON_USD
2006,0.03,KG_PER_CON_USD
2007,1.54,TONNES_M
2007,0.14,TONNES_M
2007,0.032,KG_PER_CON_USD
2007,0.028,KG_PER_CON_USD
2008,0.137,TONNES_M
2008,1.72,TONNES_M
2008,0.034,KG_PER_CON_USD
2008,0.027,KG_PER_CON_USD
2009,1.74,TONNES_M
2009,0.131,TONNES_M
2009,0.033,KG_PER_CON_USD
2009,0.029,KG_PER_CON_USD
2010,0.137,TONNES_M
2010,1.87,TONNES_M
2010,0.033,KG_PER_CON_USD
2010,0.031,KG_PER_CON_USD
2011,2.35,TONNES_M
2011,0.137,TONNES_M
2011,0.039,KG_PER_CON_USD
2011,0.031,KG_PER_CON_USD
2012,0.128,TONNES_M
2012,2.27,TONNES_M
2012,0.036,KG_PER_CON_USD
2012,0.027,KG_PER_CON_USD
2013,3.48,TONNES_M
2013,0.128,TONNES_M
2013,0.05,KG_PER_CON_USD
2013,0.025,KG_PER_CON_USD
2014,0.128,TONNES_M
2014,4.66,TONNES_M
2014,0.061,KG_PER_CON_USD
2014,0.022,KG_PER_CON_USD
2015,2.74,TONNES_M
2015,0.05,TONNES_M
2015,0.034,KG_PER_CON_USD
2015,0.008,KG_PER_CON_USD
2016,0.068,TONNES_M
2016,1.98,TONNES_M
2016,0.024,KG_PER_CON_USD
2016,0.01,KG_PER_CON_USD
2017,2.2,TONNES_M
2017,0.051,TONNES_M
2017,0.026,KG_PER_CON_USD
2017,0.007,KG_PER_CON_USD
2018,0.043,TONNES_M
2018,2.12,TONNES_M
2018,0.023,KG_PER_CON_USD
2018,0.006,KG_PER_CON_USD
2019,2.21,TONNES_M
2019,0.018,TONNES_M
2019,0.023,KG_PER_CON_USD
2019,0.002,KG_PER_CON_USD
