Year,Value,Units
2001,0.63841,Ratio
2001,0.70919,Ratio
2001,0.87422,Ratio
2001,0.31656,Ratio
2001,0.17876,Ratio
2001,0.39166,Ratio
2001,0.17137,Ratio
2001,0.26772,Ratio
2001,0.07853,Ratio
2005,0.40938,Ratio
2007,0.83098,Ratio
2007,0.65444,Ratio
2007,0.90676,Ratio
2007,0.23899,Ratio
2007,0.28125,Ratio
2007,0.44368,Ratio
2007,0.03983,Ratio
2007,0.17414,Ratio
2007,0.28857,Ratio
2007,0.97922,Ratio
2008,1.02949,Ratio
2009,1.02738,Ratio
2010,0.62935,Ratio
2010,0.92621,Ratio
2010,0.84922,Ratio
2010,0.34419,Ratio
2010,0.1676,Ratio
2010,0.43926,Ratio
2010,0.19945,Ratio
2010,0.07828,Ratio
2010,0.31601,Ratio
2010,1.02601,Ratio
2010,1.7761,Ratio
2010,0.9659,Ratio
2012,0.4127,Ratio
2012,1.60938,Ratio
2013,0.83607,Ratio
2013,0.93431,Ratio
2013,0.6995,Ratio
2013,0.6749,Ratio
2013,0.50182,Ratio
2013,0.2876,Ratio
2013,0.5331,Ratio
2013,0.1187,Ratio
2013,0.32317,Ratio
2013,1.61695,Ratio
2013,0.97499,Ratio
2014,0.94347,Ratio
2014,1.6165,Ratio
2014,1.00715,Ratio
2015,1.75603,Ratio
2018,0.98752,Ratio
2018,0.89862,Ratio
2018,0.73497,Ratio
2018,0.25961,Ratio
2018,0.54314,Ratio
2018,0.65507,Ratio
2018,0.44833,Ratio
2018,0.37221,Ratio
2018,0.12719,Ratio
2018,1.00418,Ratio
2018,1.0,Ratio
2018,1.00001,Ratio
2019,0.89859,Ratio
2019,0.86137,Ratio
2019,0.89213,Ratio
2019,0.89705,Ratio
2019,1.15707,Ratio
2019,0.51343,Ratio
2019,0.36784,Ratio
2019,0.63678,Ratio
