Year,Sex,Age,Location,Quantile,Units,Value
2000,,,,,PER_100000_POP,327
2001,,,,,PER_100000_POP,327
2002,,,,,PER_100000_POP,327
2003,,,,,PER_100000_POP,327
2004,,,,,PER_100000_POP,327
2005,,,,,PER_100000_POP,327
2006,,,,,PER_100000_POP,327
2007,,,,,PER_100000_POP,327
2008,,,,,PER_100000_POP,327
2009,,,,,PER_100000_POP,327
2010,,,,,PER_100000_POP,327
2011,,,,,PER_100000_POP,327
2012,,,,,PER_100000_POP,327
2013,,,,,PER_100000_POP,326
2014,,,,,PER_100000_POP,325
2015,,,,,PER_100000_POP,324
2016,,,,,PER_100000_POP,323
2017,,,,,PER_100000_POP,322
2018,,,,,PER_100000_POP,321
2019,,,,,PER_100000_POP,320
2020,,,,,PER_100000_POP,319
