Year,Sex,Age,Location,Quantile,Units,Value
2000,,,,,PERCENT,12.0
2004,,,,,PERCENT,1.51236
2004,,,,Q1,PERCENT,0.59015
2009,,,,,PERCENT,15.0
2012,,,,Q1,PERCENT,4.83497
2012,,,,,PERCENT,9.9904
2012,,,,Q1,PERCENT,0.64599
2012,,,,,PERCENT,1.59962
2016,,,,,PERCENT,14.1
2016,,,,,PERCENT,1.3
2016,,,,,PERCENT,8.8
2016,,,,,PERCENT,5.6
2019,,,,,PERCENT,26.2
