Year,Value,Units
2000,16.45,MJ_PER_GDP_CON_PPP_USD
2001,17.37,MJ_PER_GDP_CON_PPP_USD
2002,17.46,MJ_PER_GDP_CON_PPP_USD
2003,17.15,MJ_PER_GDP_CON_PPP_USD
2004,16.71,MJ_PER_GDP_CON_PPP_USD
2005,16.35,MJ_PER_GDP_CON_PPP_USD
2006,16.12,MJ_PER_GDP_CON_PPP_USD
2007,15.72,MJ_PER_GDP_CON_PPP_USD
2008,15.35,MJ_PER_GDP_CON_PPP_USD
2009,15.37,MJ_PER_GDP_CON_PPP_USD
2010,14.88,MJ_PER_GDP_CON_PPP_USD
2011,14.77,MJ_PER_GDP_CON_PPP_USD
2012,17.04,MJ_PER_GDP_CON_PPP_USD
2013,16.51,MJ_PER_GDP_CON_PPP_USD
2014,15.83,MJ_PER_GDP_CON_PPP_USD
2015,14.89,MJ_PER_GDP_CON_PPP_USD
2016,14.91,MJ_PER_GDP_CON_PPP_USD
2017,14.45,MJ_PER_GDP_CON_PPP_USD
2018,13.82,MJ_PER_GDP_CON_PPP_USD
2019,13.29,MJ_PER_GDP_CON_PPP_USD
