Year,Value,Units
2000,63.47412,PERCENT
2000,143899.0,HA_TH
2000,226705.0,HA_TH
2010,60.5055,PERCENT
2010,137169.0,HA_TH
2010,226705.0,HA_TH
2015,58.07641,PERCENT
2015,131662.12,HA_TH
2015,226705.0,HA_TH
2016,57.59059,PERCENT
2016,130560.74,HA_TH
2016,226705.0,HA_TH
2017,57.10477,PERCENT
2017,129459.37,HA_TH
2017,226705.0,HA_TH
2018,56.61895,PERCENT
2018,128357.99,HA_TH
2018,226705.0,HA_TH
2019,56.13313,PERCENT
2019,127256.61,HA_TH
2019,226705.0,HA_TH
2020,55.64731,PERCENT
2020,126155.24,HA_TH
2020,226705.0,HA_TH
