Year,Value,Units
2000,34,PERCENT
2000,24,PERCENT
2001,34,PERCENT
2001,24,PERCENT
2002,35,PERCENT
2002,23,PERCENT
2003,35,PERCENT
2003,23,PERCENT
2004,36,PERCENT
2004,22,PERCENT
2005,37,PERCENT
2005,22,PERCENT
2006,37,PERCENT
2006,22,PERCENT
2007,38,PERCENT
2007,21,PERCENT
2008,38,PERCENT
2008,21,PERCENT
2009,39,PERCENT
2009,20,PERCENT
2010,40,PERCENT
2010,20,PERCENT
2011,40,PERCENT
2011,19,PERCENT
2012,41,PERCENT
2012,19,PERCENT
2013,41,PERCENT
2013,18,PERCENT
2014,42,PERCENT
2014,18,PERCENT
2015,43,PERCENT
2015,17,PERCENT
2016,43,PERCENT
2016,17,PERCENT
2017,44,PERCENT
2017,17,PERCENT
2018,45,PERCENT
2018,16,PERCENT
2019,45,PERCENT
2019,16,PERCENT
2020,46,PERCENT
2020,15,PERCENT
