Year,Value,Units
2000,327,PER_100000_POP
2001,327,PER_100000_POP
2002,327,PER_100000_POP
2003,327,PER_100000_POP
2004,327,PER_100000_POP
2005,327,PER_100000_POP
2006,327,PER_100000_POP
2007,327,PER_100000_POP
2008,327,PER_100000_POP
2009,327,PER_100000_POP
2010,327,PER_100000_POP
2011,327,PER_100000_POP
2012,327,PER_100000_POP
2013,326,PER_100000_POP
2014,325,PER_100000_POP
2015,324,PER_100000_POP
2016,323,PER_100000_POP
2017,322,PER_100000_POP
2018,321,PER_100000_POP
2019,320,PER_100000_POP
2020,319,PER_100000_POP
