Year,Value,Units
2000,-0.00036,TONNES
2000,0.5473,TONNES
2000,0.0,TONNES
2000,0.00764,TONNES
2000,0.9871,TONNES
2000,-0.00036,TONNES
2000,0.06712,TONNES
2000,0.57122,TONNES
2000,0.02391,TONNES
2000,0.13218,TONNES
2000,0.13218,TONNES
2000,0.0,TONNES
2000,0.0,TONNES
2000,1.98546,TONNES
2000,2.68849,TONNES
2000,0.38827,TONNES
2000,0.53533,TONNES
2000,0.0,TONNES
2000,0.06815,KG_PER_CON_USD
2000,1.62799,KG_PER_CON_USD
2000,1.55984,KG_PER_CON_USD
2000,-0.00103,KG_PER_CON_USD
2000,0.37671,KG_PER_CON_USD
2000,0.37671,KG_PER_CON_USD
2000,0.0,KG_PER_CON_USD
2000,0.0,KG_PER_CON_USD
2000,-0.00103,KG_PER_CON_USD
2000,0.0,KG_PER_CON_USD
2000,0.19128,KG_PER_CON_USD
2000,0.0,KG_PER_CON_USD
2000,1.5257,KG_PER_CON_USD
2000,1.10658,KG_PER_CON_USD
2000,5.65863,KG_PER_CON_USD
2000,7.6623,KG_PER_CON_USD
2000,2.81329,KG_PER_CON_USD
2000,0.02178,KG_PER_CON_USD
2000,26907643.644,TONNES
2000,-17000.0,TONNES
2000,6226244.16407,TONNES
2000,1126393.644,TONNES
2000,25781250.0,TONNES
2000,46498392.52,TONNES
2000,127127595.86807,TONNES
2000,0.0,TONNES
2000,3161556.5,TONNES
2000,6226244.16407,TONNES
2000,25216985.0,TONNES
2000,334000.0,TONNES
2000,359988.0,TONNES
2000,0.0,TONNES
2000,0.0,TONNES
2000,93659338.06,TONNES
2000,0.0,TONNES
2000,18289691.38,TONNES
2001,0.18982,TONNES
2001,0.03367,TONNES
2001,1.9265,TONNES
2001,0.0,TONNES
2001,0.18982,TONNES
2001,0.97841,TONNES
2001,0.00752,TONNES
2001,0.0,TONNES
2001,0.63268,TONNES
2001,0.66635,TONNES
2001,0.06359,TONNES
2001,0.00043,TONNES
2001,0.0,TONNES
2001,0.36752,TONNES
2001,0.50947,TONNES
2001,2.78311,TONNES
2001,0.0,TONNES
2001,0.00043,TONNES
2001,0.02251,KG_PER_CON_USD
2001,2.92831,KG_PER_CON_USD
2001,8.32965,KG_PER_CON_USD
2001,5.7659,KG_PER_CON_USD
2001,1.09997,KG_PER_CON_USD
2001,1.5248,KG_PER_CON_USD
2001,0.0,KG_PER_CON_USD
2001,0.0,KG_PER_CON_USD
2001,0.0013,KG_PER_CON_USD
2001,0.56811,KG_PER_CON_USD
2001,0.0,KG_PER_CON_USD
2001,0.19031,KG_PER_CON_USD
2001,0.56811,KG_PER_CON_USD
2001,0.0,KG_PER_CON_USD
2001,1.99435,KG_PER_CON_USD
2001,0.0013,KG_PER_CON_USD
2001,1.89358,KG_PER_CON_USD
2001,0.10076,KG_PER_CON_USD
2001,17798616.48,TONNES
2001,0.0,TONNES
2001,93393314.94,TONNES
2001,135186645.65439,TONNES
2001,47382898.44,TONNES
2001,30640000.0,TONNES
2001,1630473.2314,TONNES
2001,9192487.48299,TONNES
2001,21000.0,TONNES
2001,32270473.2314,TONNES
2001,0.0,TONNES
2001,0.0,TONNES
2001,364154.0,TONNES
2001,330000.0,TONNES
2001,24672788.0,TONNES
2001,9192487.48299,TONNES
2001,3079341.1,TONNES
2001,0.0,TONNES
2002,0.0,TONNES
2002,2.79934,TONNES
2002,0.48585,TONNES
2002,0.34927,TONNES
2002,0.0,TONNES
2002,-0.00034,TONNES
2002,0.06003,TONNES
2002,-0.00034,TONNES
2002,0.67987,TONNES
2002,0.0,TONNES
2002,0.00719,TONNES
2002,0.96745,TONNES
2002,0.21134,TONNES
2002,0.0,TONNES
2002,1.86979,TONNES
2002,0.71855,TONNES
2002,0.03868,TONNES
2002,0.21134,TONNES
2002,2.03546,KG_PER_CON_USD
2002,-0.00102,KG_PER_CON_USD
2002,2.15127,KG_PER_CON_USD
2002,1.45458,KG_PER_CON_USD
2002,0.0,KG_PER_CON_USD
2002,1.04568,KG_PER_CON_USD
2002,0.0,KG_PER_CON_USD
2002,0.0,KG_PER_CON_USD
2002,0.17972,KG_PER_CON_USD
2002,0.11581,KG_PER_CON_USD
2002,0.63272,KG_PER_CON_USD
2002,5.59795,KG_PER_CON_USD
2002,8.38092,KG_PER_CON_USD
2002,2.89645,KG_PER_CON_USD
2002,0.02153,KG_PER_CON_USD
2002,0.63272,KG_PER_CON_USD
2002,0.0,KG_PER_CON_USD
2002,-0.00102,KG_PER_CON_USD
2002,330000.0,TONNES
2002,358608.0,TONNES
2002,0.0,TONNES
2002,0.0,TONNES
2002,35835394.9809,TONNES
2002,-17000.0,TONNES
2002,10539737.76819,TONNES
2002,0.0,TONNES
2002,2993659.4,TONNES
2002,10539737.76819,TONNES
2002,24230030.0,TONNES
2002,1929144.9809,TONNES
2002,17418720.83,TONNES
2002,33906250.0,TONNES
2002,48248394.56,TONNES
2002,140101350.61309,TONNES
2002,93395640.864,TONNES
2002,0.0,TONNES
2003,0.33994,TONNES
2003,0.0,TONNES
2003,0.47857,TONNES
2003,2.74078,TONNES
2003,0.0,TONNES
2003,1.83969,TONNES
2003,0.0,TONNES
2003,0.15238,TONNES
2003,0.04989,TONNES
2003,0.74872,TONNES
2003,0.05818,TONNES
2003,0.0,TONNES
2003,0.15238,TONNES
2003,0.9562,TONNES
2003,0.0068,TONNES
2003,0.0,TONNES
2003,0.69883,TONNES
2003,0.0,TONNES
2003,0.0,KG_PER_CON_USD
2003,0.0,KG_PER_CON_USD
2003,0.17012,KG_PER_CON_USD
2003,0.99403,KG_PER_CON_USD
2003,0.0,KG_PER_CON_USD
2003,1.39937,KG_PER_CON_USD
2003,2.18932,KG_PER_CON_USD
2003,2.04343,KG_PER_CON_USD
2003,0.0,KG_PER_CON_USD
2003,0.0,KG_PER_CON_USD
2003,0.0,KG_PER_CON_USD
2003,0.44556,KG_PER_CON_USD
2003,0.01989,KG_PER_CON_USD
2003,2.796,KG_PER_CON_USD
2003,8.01431,KG_PER_CON_USD
2003,5.37942,KG_PER_CON_USD
2003,0.44556,KG_PER_CON_USD
2003,0.1459,KG_PER_CON_USD
2003,141496046.78553,TONNES
2003,49172886.16,TONNES
2003,2565837.839,TONNES
2003,7836067.91653,TONNES
2003,0.0,TONNES
2003,349841.0,TONNES
2003,38503337.839,TONNES
2003,0.0,TONNES
2003,94745049.03,TONNES
2003,0.0,TONNES
2003,0.0,TONNES
2003,35937500.0,TONNES
2003,411000.0,TONNES
2003,17481776.52,TONNES
2003,24610593.0,TONNES
2003,7836067.91653,TONNES
2003,2991938.3,TONNES
2003,0.0,TONNES
2004,0.00661,TONNES
2004,0.94533,TONNES
2004,0.10558,TONNES
2004,0.0,TONNES
2004,1.80293,TONNES
2004,0.0,TONNES
2004,0.46406,TONNES
2004,0.73607,TONNES
2004,9e-05,TONNES
2004,0.0,TONNES
2004,0.0,TONNES
2004,0.33056,TONNES
2004,2.70211,TONNES
2004,9e-05,TONNES
2004,0.05636,TONNES
2004,0.7935,TONNES
2004,0.05743,TONNES
2004,0.10558,TONNES
2004,1.31191,KG_PER_CON_USD
2004,0.0,KG_PER_CON_USD
2004,0.93451,KG_PER_CON_USD
2004,5.0969,KG_PER_CON_USD
2004,7.63889,KG_PER_CON_USD
2004,0.01869,KG_PER_CON_USD
2004,0.16235,KG_PER_CON_USD
2004,0.29849,KG_PER_CON_USD
2004,0.00027,KG_PER_CON_USD
2004,2.08088,KG_PER_CON_USD
2004,2.24323,KG_PER_CON_USD
2004,2.67246,KG_PER_CON_USD
2004,0.29849,KG_PER_CON_USD
2004,0.0,KG_PER_CON_USD
2004,0.00027,KG_PER_CON_USD
2004,0.15934,KG_PER_CON_USD
2004,0.0,KG_PER_CON_USD
2004,0.0,KG_PER_CON_USD
2004,0.0,TONNES
2004,2991127.2,TONNES
2004,5603219.11608,TONNES
2004,24627225.0,TONNES
2004,17542618.45,TONNES
2004,458000.0,TONNES
2004,0.0,TONNES
2004,0.0,TONNES
2004,144072895.88708,TONNES
2004,0.0,TONNES
2004,39062500.0,TONNES
2004,42110169.381,TONNES
2004,350808.0,TONNES
2004,5000.0,TONNES
2004,5603219.11608,TONNES
2004,3047669.381,TONNES
2004,50167601.0,TONNES
2004,95899566.39,TONNES
2005,0.14869,TONNES
2005,0.06218,TONNES
2005,0.91778,TONNES
2005,0.05458,TONNES
2005,0.0,TONNES
2005,2.83249,TONNES
2005,0.32142,TONNES
2005,0.0,TONNES
2005,0.8556,TONNES
2005,0.0,TONNES
2005,0.45087,TONNES
2005,0.0,TONNES
2005,1.76602,TONNES
2005,0.0,TONNES
2005,0.14869,TONNES
2005,0.00638,TONNES
2005,0.93277,TONNES
2005,0.0,TONNES
2005,0.0,KG_PER_CON_USD
2005,0.0,KG_PER_CON_USD
2005,0.15009,KG_PER_CON_USD
2005,0.0,KG_PER_CON_USD
2005,0.40885,KG_PER_CON_USD
2005,2.56491,KG_PER_CON_USD
2005,0.0,KG_PER_CON_USD
2005,0.0,KG_PER_CON_USD
2005,0.40885,KG_PER_CON_USD
2005,0.17098,KG_PER_CON_USD
2005,1.2398,KG_PER_CON_USD
2005,0.01753,KG_PER_CON_USD
2005,7.78869,KG_PER_CON_USD
2005,0.88382,KG_PER_CON_USD
2005,4.85614,KG_PER_CON_USD
2005,0.0,KG_PER_CON_USD
2005,2.5237,KG_PER_CON_USD
2005,2.35271,KG_PER_CON_USD
2005,156017049.81784,TONNES
2005,0.0,TONNES
2005,97019514.66,TONNES
2005,51102773.72,TONNES
2005,3406634.036,TONNES
