Year,Value,Units
2000,231.0,T_PER_HA
2000,0.0,HA_TH
2000,,PERCENT
2000,12.3779,PERCENT
2005,0.0,HA_TH
2010,231.0,T_PER_HA
2010,0.0,HA_TH
2010,-0.47783,PERCENT
2010,,PERCENT
2010,12.3779,PERCENT
2015,231.0,T_PER_HA
2015,0.0,HA_TH
2015,,PERCENT
2015,18.4541,PERCENT
2016,231.0,T_PER_HA
2016,0.0,HA_TH
2016,,PERCENT
2016,18.4541,PERCENT
2017,231.0,T_PER_HA
2017,0.0,HA_TH
2017,,PERCENT
2017,18.4541,PERCENT
2018,231.0,T_PER_HA
2018,0.0,HA_TH
2018,8.1383,PERCENT
2018,18.4541,PERCENT
2019,231.0,T_PER_HA
2019,0.0,HA_TH
2019,8.1383,PERCENT
2019,18.4541,PERCENT
2020,231.0,T_PER_HA
2020,0.0,HA_TH
2020,-0.83351,PERCENT
2020,8.1383,PERCENT
2020,18.4541,PERCENT
2021,0.0,HA_TH
