Year,Value,Units
2000,0.0059,PER_100_POP
2001,0.01148,PER_100_POP
2002,0.09279,PER_100_POP
2003,0.13491,PER_100_POP
2004,0.19621,PER_100_POP
2005,0.23804,PER_100_POP
2006,0.29605,PER_100_POP
2007,0.37,PER_100_POP
2008,0.44,PER_100_POP
2009,0.56,PER_100_POP
2010,0.72,PER_100_POP
2011,1.2,PER_100_POP
2012,1.67996,PER_100_POP
2013,2.2,PER_100_POP
2014,3.0,PER_100_POP
2015,3.8,PER_100_POP
2016,6.20997,PER_100_POP
2017,8.6199,PER_100_POP
2018,11.7,PER_100_POP
2019,12.5,PER_100_POP
2020,13.6,PER_100_POP
