Year,Value,Units
2000,0.13,PERCENT
2000,0.02,PERCENT
2000,0.04,PERCENT
2000,0.19386,PERCENT
2001,0.04,PERCENT
2001,0.13,PERCENT
2001,0.02,PERCENT
2001,0.20046,PERCENT
2002,0.04,PERCENT
2002,0.02,PERCENT
2002,0.14,PERCENT
2002,0.20707,PERCENT
2003,0.05,PERCENT
2003,0.21367,PERCENT
2003,0.02,PERCENT
2003,0.14,PERCENT
2004,0.15,PERCENT
2004,0.02,PERCENT
2004,0.22028,PERCENT
2004,0.05,PERCENT
2005,0.05,PERCENT
2005,0.02,PERCENT
2005,0.15,PERCENT
2005,0.22688,PERCENT
2006,0.05,PERCENT
2006,0.02,PERCENT
2006,0.22688,PERCENT
2006,0.15,PERCENT
2007,0.05,PERCENT
2007,0.02,PERCENT
2007,0.15,PERCENT
2007,0.22688,PERCENT
2008,0.02,PERCENT
2008,0.05,PERCENT
2008,0.15,PERCENT
2008,0.22688,PERCENT
2009,0.05,PERCENT
2009,0.15,PERCENT
2009,0.22688,PERCENT
2009,0.02,PERCENT
2010,0.05,PERCENT
2010,0.15,PERCENT
2010,0.02,PERCENT
2010,0.22688,PERCENT
2011,0.02,PERCENT
2011,0.05,PERCENT
2011,0.15,PERCENT
2011,0.22688,PERCENT
2012,0.05,PERCENT
2012,0.15,PERCENT
2012,0.02,PERCENT
2012,0.22688,PERCENT
2013,0.05,PERCENT
2013,0.22688,PERCENT
2013,0.02,PERCENT
2013,0.15,PERCENT
2014,0.02,PERCENT
2014,0.05,PERCENT
2014,0.22688,PERCENT
2014,0.15,PERCENT
2015,0.02,PERCENT
2015,0.15,PERCENT
2015,0.22688,PERCENT
2015,0.05,PERCENT
2016,0.05,PERCENT
2016,0.02,PERCENT
2016,0.15,PERCENT
2016,0.22688,PERCENT
2017,0.05,PERCENT
2017,0.22688,PERCENT
2017,0.15,PERCENT
2017,0.02,PERCENT
2018,0.15,PERCENT
2018,0.02,PERCENT
2018,0.05,PERCENT
2018,0.22688,PERCENT
2019,0.05,PERCENT
2019,0.02,PERCENT
2019,0.15,PERCENT
2019,0.22688,PERCENT
