Year,Value,Units
2004,40,PERCENT
2005,50,PERCENT
2006,50,PERCENT
2007,50,PERCENT
2008,50,PERCENT
2009,50,PERCENT
2009,0,PERCENT
2010,50,PERCENT
2010,0,PERCENT
2011,50,PERCENT
2011,0,PERCENT
2012,50,PERCENT
2012,20,PERCENT
2013,50,PERCENT
2013,20,PERCENT
2014,50,PERCENT
2014,20,PERCENT
2014,0,PERCENT
2015,50,PERCENT
2015,20,PERCENT
2015,0,PERCENT
2016,50,PERCENT
2016,20,PERCENT
2016,0,PERCENT
2017,50,PERCENT
2017,40,PERCENT
2017,0,PERCENT
2018,52,PERCENT
2018,50,PERCENT
2018,0,PERCENT
2019,54,PERCENT
2019,54,PERCENT
2020,70,PERCENT
2020,54,PERCENT
2020,40,PERCENT
