Year,Sex,Age,Location,Quantile,Units,Value
2005,BOTHSEX,15-24,,,PERCENT,18.45
2005,FEMALE,15-24,,,PERCENT,23.07
2005,MALE,15-24,,,PERCENT,13.5
2012,BOTHSEX,15-24,,,PERCENT,21.36
2012,FEMALE,15-24,,,PERCENT,25.79
2012,MALE,15-24,,,PERCENT,16.43
