Year,Value,Units
2000,0.20339,USD/m3
2000,27.72189,USD/m3
2000,18.99767,USD/m3
2000,19.7146,USD/m3
2001,14.46459,USD/m3
2001,17.30507,USD/m3
2001,35.86552,USD/m3
2001,0.32244,USD/m3
2002,0.25651,USD/m3
2002,38.93782,USD/m3
2002,18.94128,USD/m3
2002,15.83001,USD/m3
2003,17.49858,USD/m3
2003,35.47347,USD/m3
2003,0.25306,USD/m3
2003,19.40433,USD/m3
2004,40.30022,USD/m3
2004,17.40628,USD/m3
2004,0.23548,USD/m3
2004,20.44503,USD/m3
2005,21.93881,USD/m3
2005,0.21426,USD/m3
2005,19.06196,USD/m3
2005,41.68976,USD/m3
2006,40.72725,USD/m3
2006,20.65307,USD/m3
2006,0.20978,USD/m3
2006,22.81372,USD/m3
2007,24.08306,USD/m3
2007,0.21402,USD/m3
2007,21.47241,USD/m3
2007,44.04134,USD/m3
2008,51.50936,USD/m3
2008,20.39183,USD/m3
2008,0.23646,USD/m3
2008,24.95427,USD/m3
2009,25.46113,USD/m3
2009,0.25306,USD/m3
2009,20.67198,USD/m3
2009,52.97432,USD/m3
2010,22.12255,USD/m3
2010,0.23732,USD/m3
2010,61.59207,USD/m3
2010,28.2966,USD/m3
2011,30.23686,USD/m3
2011,69.33787,USD/m3
2011,0.24141,USD/m3
2011,22.52906,USD/m3
2012,24.32862,USD/m3
2012,0.16082,USD/m3
2012,72.34727,USD/m3
2012,32.09848,USD/m3
2013,34.90534,USD/m3
2013,80.47546,USD/m3
2013,0.15708,USD/m3
2013,25.88987,USD/m3
2014,27.59437,USD/m3
2014,0.15693,USD/m3
2014,93.0303,USD/m3
2014,38.76061,USD/m3
2015,41.51254,USD/m3
2015,99.16019,USD/m3
2015,0.16487,USD/m3
2015,29.70403,USD/m3
2016,30.51698,USD/m3
2016,0.17964,USD/m3
2016,99.43092,USD/m3
2016,42.1251,USD/m3
2017,44.61334,USD/m3
2017,104.25488,USD/m3
2017,0.19955,USD/m3
2017,32.64942,USD/m3
2018,34.60782,USD/m3
2018,0.20333,USD/m3
2018,113.12341,USD/m3
2018,47.85008,USD/m3
2019,49.55037,USD/m3
2019,108.81737,USD/m3
2019,0.22128,USD/m3
2019,38.46491,USD/m3
