Year,Value,Units
2010,46042,TEU
2011,60237,TEU
2012,81192,TEU
2013,66896,TEU
2014,101254,TEU
2015,47710,TEU
2016,44513,TEU
2017,228606,T_KM
2017,1344194936,P_KM
2017,49349,TEU
2018,3679994569,T_KM
2018,3989826986,T_KM
2018,21428485,T_KM
2018,915105,T_KM
2018,72063733347,P_KM
2018,658262689,P_KM
2018,18450953,P_KM
2018,51238,TEU
2019,751200,T_KM
2019,34253200000,T_KM
2019,87200000,T_KM
2019,12737600000,T_KM
2019,106698142857,P_KM
2019,4809000000,P_KM
2019,629068126,P_KM
2019,27954,TEU
2020,962587,T_KM
2020,32745000000,T_KM
2020,84000000,T_KM
2020,11933000000,T_KM
2020,292485965,P_KM
2020,14000000,P_KM
2020,80261000000,P_KM
2020,75322,TEU
