Year,Value,Units
2000,10,PERCENT
2000,22,PERCENT
2001,11,PERCENT
2001,22,PERCENT
2002,11,PERCENT
2002,21,PERCENT
2003,11,PERCENT
2003,21,PERCENT
2004,11,PERCENT
2004,21,PERCENT
2005,11,PERCENT
2005,20,PERCENT
2006,11,PERCENT
2006,20,PERCENT
2007,11,PERCENT
2007,19,PERCENT
2008,11,PERCENT
2008,19,PERCENT
2009,11,PERCENT
2009,18,PERCENT
2010,11,PERCENT
2010,18,PERCENT
2011,11,PERCENT
2011,17,PERCENT
2012,12,PERCENT
2012,17,PERCENT
2013,12,PERCENT
2013,16,PERCENT
2014,12,PERCENT
2014,19,PERCENT
2014,16,PERCENT
2015,12,PERCENT
2015,19,PERCENT
2015,15,PERCENT
2016,12,PERCENT
2016,19,PERCENT
2016,15,PERCENT
2017,12,PERCENT
2017,19,PERCENT
2017,14,PERCENT
2018,12,PERCENT
2018,19,PERCENT
2018,14,PERCENT
2019,12,PERCENT
2019,19,PERCENT
2019,13,PERCENT
2020,12,PERCENT
2020,19,PERCENT
2020,13,PERCENT
