Year,Value,Units
2007,96.02398,PERCENT
2008,93.26745,PERCENT
2009,93.3934,PERCENT
2010,32.51786,PERCENT
2010,91.66748,PERCENT
2010,22.81887,PERCENT
2011,22.73146,PERCENT
2011,89.85311,PERCENT
2012,93.08434,PERCENT
2012,16.54178,PERCENT
2012,21.66984,PERCENT
2013,21.66221,PERCENT
2013,18.71706,PERCENT
2013,94.07259,PERCENT
2014,94.62353,PERCENT
2014,20.32591,PERCENT
2014,23.52229,PERCENT
2015,20.63536,PERCENT
2018,91.99965,PERCENT
2018,13.45626,PERCENT
2018,58.00002,PERCENT
