Year,Value,Units
2005,17.86905,PERCENT
2006,29.06552,PERCENT
2007,21.8758,PERCENT
2008,24.43816,PERCENT
2009,24.5605,PERCENT
2010,18.27841,PERCENT
2011,20.7447,PERCENT
2012,9.17151,PERCENT
2013,15.74026,PERCENT
2014,19.16124,PERCENT
2015,24.17832,PERCENT
2016,9.21617,PERCENT
2017,95.17,PERCENT
2017,138.0,TONNES
2017,145.0,TONNES
2017,4.83,PERCENT
2017,7.0,TONNES
2017,12.62219,PERCENT
2018,93.42,PERCENT
2018,142.0,TONNES
2018,152.0,TONNES
2018,6.58,PERCENT
2018,10.0,TONNES
2018,2.61104,PERCENT
2018,1.60679,PERCENT
2018,14.3326,PERCENT
2019,94.9,PERCENT
2019,149.0,TONNES
2019,157.0,TONNES
2019,5.1,PERCENT
2019,8.0,TONNES
2019,1.73219,PERCENT
2019,1.55443,PERCENT
2019,9.28382,PERCENT
2020,95.65,PERCENT
2020,154.0,TONNES
2020,161.0,TONNES
2020,4.35,PERCENT
2020,7.0,TONNES
2020,2.40261,PERCENT
2020,1.41731,PERCENT
2020,13.65089,PERCENT
2021,97.58,PERCENT
2021,161.0,TONNES
2021,165.0,TONNES
2021,2.42,PERCENT
2021,4.0,TONNES
2021,8.43485,PERCENT
