Year,Value,Units
2000,1.01,PER_1000_UNINFECTED_POP
2001,0.95,PER_1000_UNINFECTED_POP
2002,0.9,PER_1000_UNINFECTED_POP
2003,0.83,PER_1000_UNINFECTED_POP
2004,0.78,PER_1000_UNINFECTED_POP
2005,0.73,PER_1000_UNINFECTED_POP
2006,0.68,PER_1000_UNINFECTED_POP
2007,0.64,PER_1000_UNINFECTED_POP
2008,0.6,PER_1000_UNINFECTED_POP
2009,0.55,PER_1000_UNINFECTED_POP
2010,0.51,PER_1000_UNINFECTED_POP
2011,0.47,PER_1000_UNINFECTED_POP
2012,0.44,PER_1000_UNINFECTED_POP
2013,0.39,PER_1000_UNINFECTED_POP
2014,0.35,PER_1000_UNINFECTED_POP
2015,0.33,PER_1000_UNINFECTED_POP
2016,0.3,PER_1000_UNINFECTED_POP
2017,0.28,PER_1000_UNINFECTED_POP
2018,0.25,PER_1000_UNINFECTED_POP
2019,0.21,PER_1000_UNINFECTED_POP
2020,0.18,PER_1000_UNINFECTED_POP
