Year,Sex,Age,Location,Quantile,Units,Value
2000,,,,,PERCENT,-9.25447
2001,,,,,PERCENT,-4.77438
2002,,,,,PERCENT,-0.03208
2003,,,,,PERCENT,2.38715
2004,,,,,PERCENT,3.43404
2005,,,,,PERCENT,2.80903
2006,,,,,PERCENT,1.98484
2007,,,,,PERCENT,2.84983
2008,,,,,PERCENT,2.78387
2009,,,,,PERCENT,-0.50057
2010,,,,,PERCENT,3.59881
2011,,,,,PERCENT,3.36647
2012,,,,,PERCENT,3.57173
2013,,,,,PERCENT,4.92759
2014,,,,,PERCENT,5.89543
2015,,,,,PERCENT,3.44321
2016,,,,,PERCENT,-0.90696
2017,,,,,PERCENT,0.37498
2018,,,,,PERCENT,2.42624
2019,,,,,PERCENT,1.17029
2020,,,,,PERCENT,-1.41205
